pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
745.990000,909.920000,810.290000,899.140000,915.395227,881.164441,972.323835,891.446783,978.268678,895.304964
745.890000,909.560000,810.460000,899.190000,915.843225,881.164441,972.323835,890.696550,978.573945,894.030910
745.900000,908.960000,811.040000,899.380000,915.843225,881.164441,972.773229,887.695616,979.642377,890.208747
745.790000,908.200000,811.520000,899.880000,915.843225,881.164441,972.773229,886.195149,980.405544,886.896205
745.620000,907.350000,811.510000,899.960000,915.843225,881.164441,973.222623,885.069799,980.710810,884.220691
745.000000,906.390000,811.470000,900.000000,915.843225,881.164441,974.570806,883.944449,981.168710,881.672583
744.350000,904.990000,810.970000,900.020000,915.843225,881.164441,974.570806,882.068866,981.473976,880.143717
744.120000,903.630000,810.930000,899.980000,917.187221,884.530006,974.570806,878.317699,982.084509,877.850420
743.990000,902.000000,810.820000,899.910000,917.187221,885.651862,972.323835,871.190482,982.847675,872.244580
743.870000,900.270000,810.770000,899.800000,918.083218,888.269524,972.323835,871.190482,983.000308,868.932039
743.740000,898.690000,810.730000,899.630000,918.531217,890.139283,971.425046,869.690015,981.402301,864.814810
743.630000,896.830000,810.580000,898.880000,919.427214,892.009041,971.425046,868.939782,981.402301,864.814810
743.570000,895.130000,809.870000,898.160000,919.427214,894.626704,970.975652,868.939782,979.687114,860.996958
742.980000,893.290000,809.010000,897.560000,918.531217,896.496462,970.975652,868.939782,979.687114,862.905884
742.950000,891.710000,808.080000,897.150000,917.635220,898.366221,968.279286,874.566532,979.687114,864.098963
742.880000,890.410000,807.030000,896.910000,917.635220,901.357835,968.279286,874.941649,979.687114,864.814810
742.790000,889.160000,806.070000,896.840000,917.635220,901.357835,968.279286,876.442115,979.972978,865.769273
742.690000,888.080000,805.120000,896.700000,917.187221,901.731787,968.728681,878.317699,980.544707,868.155431
742.570000,886.950000,800.634922,891.926804,917.187221,901.357835,968.728681,880.193282,981.974030,872.211899
741.840000,886.140000,800.450000,891.180000,917.187221,901.357835,968.728681,885.820033,982.545759,881.517913
741.110000,885.540000,800.010000,890.520000,913.603232,903.601546,968.728681,889.946316,982.545759,886.051613
740.410000,885.230000,799.890000,889.890000,913.155233,903.601546,970.076863,893.322366,982.545759,887.960539
740.100000,885.010000,799.490000,888.990000,911.363239,905.471304,970.076863,895.948183,982.545759,890.108081
739.770000,884.980000,798.370000,888.060000,909.571244,907.341063,970.526258,897.823767,982.545759,893.687317
738.950000,885.190000,797.000000,887.160000,908.227248,908.836870,970.526258,900.074467,981.402301,897.982401
738.020000,885.550000,796.020000,886.290000,907.331251,908.836870,970.076863,903.075400,979.115385,901.561637
737.040000,886.280000,795.300000,885.370000,905.987255,908.836870,967.829892,906.451451,976.256740,908.004262
736.180000,886.920000,795.020000,884.260000,905.987255,908.836870,959.740796,913.203551,965.405580,920.042714
735.340000,887.890000,791.970468,888.310623,904.195261,906.219208,953.449276,916.204484,965.405580,920.042714
734.790000,888.860000,791.300000,888.050000,904.195261,904.349449,948.056545,916.579601,965.405580,920.042714
